epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4741.24,0.50593,0.30727,0.78405,0.98916,0.97718,0.99342,0.90613,0.40231,0.28844,0.77188,0.000990365,0.000990365,0.000990365
43,4857.04,0.54173,0.31633,0.78303,0.99038,0.97693,0.99382,0.89608,0.43567,0.299,0.77434,0.000973861,0.000973861,0.000973861
44,4973.31,0.54689,0.31781,0.78387,0.99058,0.9776,0.99383,0.86513,0.5332,0.32659,0.77601,0.000957358,0.000957358,0.000957358
45,5088.51,0.52966,0.31506,0.78524,0.99318,0.97619,0.99388,0.90242,0.40811,0.28754,0.77218,0.000940855,0.000940855,0.000940855
46,5203.77,0.50614,0.30412,0.78272,0.99143,0.97736,0.99387,0.9051,0.41146,0.28529,0.77234,0.000924352,0.000924352,0.000924352
47,5319.07,0.49591,0.29915,0.78296,0.99089,0.97941,0.99415,0.90497,0.41654,0.28706,0.77135,0.000907848,0.000907848,0.000907848
48,5430.53,0.46264,0.28856,0.78305,0.993,0.97763,0.99412,0.91181,0.40143,0.28474,0.76907,0.000891345,0.000891345,0.000891345
49,5538.11,0.47456,0.2921,0.78161,0.99295,0.97984,0.99421,0.9113,0.39244,0.27943,0.76919,0.000874842,0.000874842,0.000874842
50,5647.8,0.48699,0.29322,0.78269,0.99211,0.98098,0.99422,0.9127,0.39395,0.27573,0.7697,0.000858338,0.000858338,0.000858338
51,5761.67,0.46782,0.28529,0.78093,0.99268,0.97924,0.99422,0.90603,0.44509,0.28225,0.77267,0.000841835,0.000841835,0.000841835
52,5886.22,0.49521,0.29299,0.78349,0.99309,0.97843,0.99413,0.91375,0.40252,0.27845,0.77079,0.000825332,0.000825332,0.000825332
53,6013.14,0.48313,0.2906,0.78149,0.99345,0.97831,0.99418,0.9194,0.37985,0.26671,0.7708,0.000808828,0.000808828,0.000808828
54,6143.13,0.46446,0.28233,0.7814,0.99389,0.98052,0.99419,0.91048,0.40888,0.28472,0.76892,0.000792325,0.000792325,0.000792325
55,6266.76,0.45835,0.28017,0.7811,0.99432,0.97766,0.99421,0.90901,0.39763,0.27369,0.77179,0.000775822,0.000775822,0.000775822
56,6390.09,0.44605,0.27548,0.78226,0.99292,0.98006,0.99421,0.91972,0.38227,0.26832,0.77083,0.000759318,0.000759318,0.000759318
57,6511.55,0.45304,0.28018,0.78134,0.99281,0.97939,0.99417,0.91254,0.40872,0.28181,0.77036,0.000742815,0.000742815,0.000742815
58,6633.61,0.45141,0.28031,0.78081,0.99433,0.97902,0.99408,0.91881,0.39026,0.27713,0.77067,0.000726312,0.000726312,0.000726312
59,6757.82,0.46495,0.28096,0.77801,0.99264,0.981,0.99418,0.91234,0.3911,0.27062,0.77194,0.000709809,0.000709809,0.000709809
60,6881.5,0.45782,0.27898,0.78143,0.9926,0.98195,0.99433,0.9222,0.37479,0.26742,0.76922,0.000693305,0.000693305,0.000693305
61,7005.25,0.44134,0.26938,0.78041,0.99236,0.97805,0.99388,0.91837,0.38171,0.26835,0.76938,0.000676802,0.000676802,0.000676802
62,7128.95,0.4245,0.26314,0.78081,0.99398,0.98131,0.99438,0.92281,0.35657,0.25801,0.76892,0.000660299,0.000660299,0.000660299
63,7251.68,0.44316,0.27079,0.77996,0.99348,0.9816,0.99428,0.92432,0.35719,0.25946,0.77002,0.000643795,0.000643795,0.000643795
64,7375.93,0.43367,0.26851,0.7803,0.99374,0.9798,0.99429,0.92095,0.36468,0.26864,0.76887,0.000627292,0.000627292,0.000627292
65,7499.48,0.4266,0.26594,0.77879,0.99341,0.98028,0.99427,0.9205,0.36833,0.26428,0.77025,0.000610789,0.000610789,0.000610789
66,7620.93,0.43043,0.26762,0.77949,0.99387,0.98141,0.99438,0.91752,0.3654,0.26413,0.76862,0.000594286,0.000594286,0.000594286
67,7745.49,0.43181,0.26294,0.77742,0.99425,0.98063,0.99437,0.92366,0.35982,0.25909,0.76836,0.000577782,0.000577782,0.000577782
68,7869.28,0.41554,0.2568,0.78061,0.99382,0.9815,0.99425,0.92829,0.34705,0.24701,0.76893,0.000561279,0.000561279,0.000561279
69,7993.58,0.41902,0.25502,0.77947,0.9927,0.98166,0.99436,0.92565,0.35074,0.25248,0.76927,0.000544776,0.000544776,0.000544776
70,8115.31,0.40256,0.25195,0.77796,0.99341,0.98283,0.99443,0.92548,0.35511,0.25586,0.76751,0.000528272,0.000528272,0.000528272
71,8238.08,0.41795,0.25773,0.77875,0.99407,0.98317,0.99446,0.92255,0.36629,0.26026,0.76782,0.000511769,0.000511769,0.000511769
72,8361.04,0.4065,0.25183,0.78,0.99368,0.98368,0.99452,0.92945,0.352,0.25354,0.76727,0.000495266,0.000495266,0.000495266
73,8483.43,0.41224,0.25511,0.77955,0.9935,0.9829,0.99441,0.92506,0.3561,0.25164,0.76859,0.000478762,0.000478762,0.000478762
74,8606.98,0.4213,0.25741,0.77899,0.99425,0.98173,0.99441,0.92894,0.35155,0.25375,0.76743,0.000462259,0.000462259,0.000462259
75,8729.11,0.41798,0.25745,0.77855,0.99439,0.98282,0.99448,0.92798,0.35086,0.25348,0.76795,0.000445756,0.000445756,0.000445756
76,8850.56,0.4065,0.25348,0.77889,0.99473,0.9827,0.99445,0.929,0.34861,0.246,0.76915,0.000429253,0.000429253,0.000429253
77,8972.21,0.3947,0.24703,0.77748,0.99512,0.98253,0.9945,0.92636,0.35257,0.25235,0.76728,0.000412749,0.000412749,0.000412749
78,9091.9,0.40023,0.24804,0.77717,0.99387,0.98218,0.99439,0.92788,0.35017,0.24457,0.76972,0.000396246,0.000396246,0.000396246
79,9210.78,0.39913,0.24603,0.77633,0.99489,0.98258,0.99456,0.93135,0.33382,0.23825,0.7682,0.000379743,0.000379743,0.000379743
80,9328.54,0.39051,0.24193,0.77837,0.99336,0.98325,0.99451,0.9304,0.33176,0.23856,0.76818,0.000363239,0.000363239,0.000363239
81,9445.95,0.39193,0.23948,0.77481,0.99331,0.98358,0.99452,0.92939,0.34268,0.246,0.7666,0.000346736,0.000346736,0.000346736
82,9561.51,0.3865,0.2397,0.77805,0.99363,0.9845,0.99455,0.93089,0.34065,0.24906,0.76655,0.000330233,0.000330233,0.000330233
83,9676.66,0.39149,0.24441,0.77635,0.99444,0.9838,0.99457,0.93215,0.33106,0.24243,0.76761,0.000313729,0.000313729,0.000313729
